STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,10577,27.1,9.03,8.39,5.16,11.61,38.71,1550
36,NY,10578,26.19,16.67,11.9,7.14,30.95,7.14,420
36,NY,10579,23.09,15.24,13.16,11.78,25.64,11.09,4330
36,NY,10580,24.22,9.24,7.87,5.87,14.73,38.08,8010
36,NY,10583,21.41,9.13,8.38,6.73,17.51,36.84,18730
36,NY,10588,25.93,15.56,15.56,10.37,23.7,8.89,1350
36,NY,10589,19.65,12.66,13.97,12.66,25.98,15.07,4580
36,NY,10590,23.13,11.56,10,8.44,23.13,23.75,3200
36,NY,10591,29.94,20.27,11.84,8.76,16.01,13.18,11990
36,NY,10594,25.1,14.51,11.76,9.8,23.53,15.29,2550
36,NY,10595,23.75,13.13,13.13,9.38,24.06,16.56,3200
36,NY,10596,30.23,22.09,17.44,11.63,16.28,2.33,860
36,NY,10597,24,12,6,4,14,40,500
36,NY,10598,24.59,13.46,11.54,9.07,26.44,14.9,14560
36,NY,10601,28.93,19.83,13.88,9.42,16.36,11.57,6050
36,NY,10603,28.18,20.16,15.85,10.73,17.75,7.32,9970
36,NY,10604,30.36,19.64,13.21,9.11,15.89,11.79,5600
36,NY,10605,24.26,14.65,12.08,8.91,20.89,19.21,10100
36,NY,10606,36.59,23.19,12.44,7.49,12.44,7.85,8280
36,NY,10607,27.3,18.36,13.4,9.43,19.85,11.66,4030
36,NY,10701,42.49,25.26,13.72,7.54,9.17,1.81,28780
36,NY,10703,36.18,24.44,14.66,9.49,13.16,2.07,10640
36,NY,10704,28.5,22.56,18.02,11.43,16.37,3.12,16980
36,NY,10705,43.49,25.72,13.34,6.92,8.32,2.22,18510
36,NY,10706,21.51,12.42,10.64,9.31,21.29,24.83,4510
36,NY,10707,24.62,14.42,13.27,10,22.12,15.58,5200
36,NY,10708,20.67,12.63,13.6,10.69,20.94,21.47,11320
36,NY,10709,24.33,13.4,12.78,9.69,21.86,17.94,4850
36,NY,10710,25.37,19.56,15.88,12.19,21.19,5.81,14110
36,NY,10801,37.16,21.83,13.81,8.83,13.16,5.2,18460
36,NY,10803,22.17,12.83,10.17,8,16.83,30,6000
36,NY,10804,21.05,9.18,9.46,6.92,20.76,32.63,7080
36,NY,10805,30.91,22.23,17.35,11.28,14.43,3.8,9220
36,NY,10901,28.61,17.24,12.51,9.45,20.3,11.9,11430
36,NY,10913,26.15,13.46,10.77,9.62,23.46,16.54,2600
36,NY,10914,22.86,20,14.29,8.57,25.71,8.57,350
36,NY,10915,36.84,26.32,21.05,0,15.79,0,190
36,NY,10916,27.4,15.07,12.79,10.05,26.03,8.68,2190
36,NY,10917,31.68,15.84,13.86,8.91,20.79,8.91,1010
36,NY,10918,28.07,17.37,13.86,11.75,22.11,6.84,5700
36,NY,10919,29.51,22.95,11.48,11.48,19.67,4.92,610
36,NY,10920,26.89,16.22,12.22,10.89,24.67,9.11,4500
36,NY,10921,28.17,18.31,15.02,10.8,22.07,5.63,2130
36,NY,10922,25.61,17.07,15.85,14.63,21.95,4.88,820
36,NY,10923,33.06,21.56,15.2,9.86,16.43,3.9,4870
36,NY,10924,28.48,16.83,13.27,9.87,22.65,8.9,6180
36,NY,10925,29.63,19.75,15.23,12.35,19.34,3.7,2430
36,NY,10926,28.95,20.53,16.32,11.58,17.89,4.74,1900
36,NY,10927,48.61,26.51,10.8,5.56,6.55,1.96,6110
36,NY,10928,32.89,26.22,16,9.33,12.89,2.67,2250
36,NY,10930,28.31,14.85,12.06,10.21,25.52,9.05,4310
36,NY,10931,35.29,23.53,13.73,11.76,15.69,0,510
36,NY,10932,31.58,21.05,15.79,10.53,21.05,0,190
36,NY,10933,31.82,18.18,9.09,13.64,27.27,0,220
36,NY,10940,36.73,24.93,14.24,9.29,12.88,1.94,24230
36,NY,10941,31.19,24.89,15.16,10.59,15.31,2.86,6990
36,NY,10950,37.74,18.18,10.75,8.46,18.47,6.4,17490
36,NY,10952,43.77,19.51,9.26,6.48,12.46,8.52,12200
36,NY,10953,25,15,25,0,25,10,200
36,NY,10954,28.59,18.17,13.49,10.66,21.49,7.59,12380
36,NY,10956,25.74,13.65,10.96,8.77,25.05,15.84,15970
36,NY,10958,30.43,18.01,14.29,11.18,21.12,4.97,1610
36,NY,10960,29.84,18.99,13.18,9.43,18.22,10.34,7740
36,NY,10962,25.59,14.57,12.6,9.84,23.23,14.17,2540
36,NY,10963,30.83,20,14.17,12.5,20,2.5,1200
36,NY,10964,22.67,14.67,12,8,18.67,24,750
36,NY,10965,24.97,15.08,13.05,9.89,25.6,11.41,7890
36,NY,10968,19.53,14.84,14.84,11.72,23.44,15.63,1280
36,NY,10969,30.77,24.62,12.31,10.77,15.38,6.15,650
36,NY,10970,28.74,20.31,14.56,10.34,19.16,6.9,5220
36,NY,10973,31.58,17.54,12.28,11.4,21.93,5.26,1140
36,NY,10974,29.49,18.59,13.46,10.26,20.51,7.69,1560
36,NY,10975,29.41,23.53,23.53,11.76,11.76,0,170
36,NY,10976,37.65,20,11.76,8.24,14.12,8.24,850
36,NY,10977,45.54,25.2,10.56,6.25,9.33,3.12,24330
36,NY,10979,40,0,30,0,30,0,100
36,NY,10980,28.43,18.25,13.86,9.9,21.64,7.92,7070
36,NY,10983,23.83,14.43,12.08,9.73,27.18,12.75,2980
36,NY,10984,23.7,17.78,14.07,11.11,25.19,8.15,1350
36,NY,10985,26.67,26.67,13.33,13.33,20,0,150
36,NY,10986,27.66,18.09,10.64,11.7,21.28,10.64,940
36,NY,10987,31.75,11.64,11.11,8.47,21.16,15.87,1890
36,NY,10988,33.33,30.56,13.89,11.11,11.11,0,360
36,NY,10989,23.81,16.67,14.09,12.1,24.6,8.73,5040
36,NY,10990,29.11,16.45,12.05,10.62,22.37,9.4,9790
36,NY,10992,28.96,17.76,12.68,10.99,23.04,6.55,4730
36,NY,10993,38.74,26.88,14.23,8.7,10.67,0.79,2530
36,NY,10994,25.32,13.7,12.14,9.82,23.26,15.76,3870
36,NY,10996,29.36,11.01,15.6,16.51,22.94,4.59,1090
36,NY,10998,27.1,17.42,14.19,12.26,23.87,5.16,1550
36,NY,11001,27.76,17.16,12.98,10.53,22.28,9.3,13870
36,NY,11003,34.4,26.02,15.39,10.05,12.43,1.71,23980
36,NY,11004,29.39,19.44,15.79,12.57,19.44,3.36,6840
36,NY,11005,14.48,10.34,13.79,13.79,30.34,17.24,1450
36,NY,11010,27.8,18.17,14.85,11.53,22.43,5.21,12660
36,NY,11020,28.85,14.75,9.18,6.56,17.7,22.95,3050
36,NY,11021,22.93,13.89,12.81,10.01,20.24,20.13,9290
36,NY,11023,24.87,13.57,10.55,8.04,19.35,23.62,3980
36,NY,11024,30.38,13.61,9.49,6.65,14.87,25,3160
36,NY,11030,21.89,8.96,8.61,6.52,15.95,38.07,8590
36,NY,11040,25.94,16.09,12.95,10.23,24.11,10.69,21320
36,NY,11042,21.74,17.39,10.87,8.7,19.57,21.74,460
36,NY,11050,27.41,13.77,10.38,7.85,17.96,22.62,15030
36,NY,11096,48.78,24.39,11.95,7.07,6.83,0.98,4100
36,NY,11101,30.92,19.37,14.79,9.77,16.84,8.31,18530
36,NY,11102,35.43,23.38,17.45,9.87,11.43,2.44,19250
36,NY,11103,34.04,24.39,19.49,9.79,10.42,1.87,20830
36,NY,11104,34.61,22.9,17.27,10.39,12.11,2.71,15110
36,NY,11105,32.54,23.03,18.35,10.32,12.51,3.25,19670
36,NY,11106,34.96,23.26,17.96,10.05,11.47,2.29,21880
36,NY,11109,10.11,8.43,11.24,11.52,31.18,27.53,3560
36,NY,11201,18.45,12.89,13.48,11.23,22.21,21.74,31970
36,NY,11203,42.66,29.4,14.62,7.12,5.67,0.53,37760
36,NY,11204,50.03,22.86,11.2,6.08,7.32,2.5,33200
36,NY,11205,37.29,22.64,14.38,8.52,11.72,5.43,18770
36,NY,11206,47.57,27.4,13.51,5.86,4.74,0.9,36490
36,NY,11207,51.62,28.19,11.49,4.96,3.47,0.28,43530
36,NY,11208,53.83,27.97,10.95,4.14,2.91,0.2,44010
36,NY,11209,32.1,19.23,16.3,11.2,15.48,5.69,34110
36,NY,11210,39.29,25.76,14.35,7.57,8.99,4.04,29470
36,NY,11211,32.5,21.71,16.09,9.95,13.54,6.2,30950
36,NY,11212,53.87,28.02,11.1,4.22,2.68,0.1,38370
36,NY,11213,45.9,28.91,13.69,5.73,4.71,1.06,29300
36,NY,11214,48.21,23.4,12.07,7.12,7.66,1.54,40860
36,NY,11215,19.19,16.37,15.88,11.27,20.74,16.55,32930
36,NY,11216,35.87,28.22,17.92,7.96,7.79,2.24,29020
36,NY,11217,22.31,17.84,15.91,11.02,18.88,14.04,19230
36,NY,11218,40.34,22.25,13.35,8.21,11.68,4.17,33120
36,NY,11219,60.13,21.11,7.87,4.16,4.75,1.98,33910
36,NY,11220,67.01,19.02,6.79,3.1,3.36,0.72,53900
36,NY,11221,44.23,29.91,14.27,5.79,4.81,0.99,39520
36,NY,11222,26.14,21.98,19.72,11.83,15.24,5.1,22570
36,NY,11223,47.37,22.76,11.42,6.78,8.12,3.54,32740
36,NY,11224,50,24.16,11.61,6.32,6.67,1.24,20240
36,NY,11225,38.46,28.76,16.57,7.71,6.76,1.73,30600
36,NY,11226,44.86,29.56,13.89,5.92,4.8,0.98,52070
36,NY,11228,41.91,20.35,12.33,8.57,12.43,4.41,19710
36,NY,11229,40.85,21.84,13.12,8.56,11.88,3.74,36350
36,NY,11230,42.83,23.47,12.68,7.16,9.41,4.45,35490
